Alternative measures,"Measure of core inflation based on a factor model, CPI-common (year-over-year percent change) 4 5","Measure of core inflation based on a weighted median approach, CPI-median (year-over-year percent change) 6 7","Measure of core inflation based on a trimmed mean approach, CPI-trim (year-over-year percent change) 6 8"
2020/01/01,1.8,1.9,2
2020/02/01,1.8,1.9,1.9
2020/03/01,1.7,1.8,1.8
2020/04/01,1.5,1.9,1.8
2020/05/01,1.4,1.8,1.5
2020/06/01,1.5,1.9,1.7
2020/07/01,1.3,1.8,1.6
2020/08/01,1.4,1.8,1.6
2020/09/01,1.5,1.9,1.8
2020/10/01,1.5,2,1.8
2020/11/01,1.5,1.9,1.8
2020/12/01,1.3,1.9,1.8
2021/01/01,1.3,2,1.9
2021/02/01,1.4,2,1.9
2021/03/01,1.5,2.1,2
2021/04/01,1.7,2.3,2.3
2021/05/01,1.9,2.5,2.7
2021/06/01,1.8,2.5,2.6
2021/07/01,1.8,2.7,3.1
2021/08/01,1.9,2.8,3.3
2021/09/01,1.8,2.9,3.4
2021/10/01,1.8,2.8,3.4
2021/11/01,2,2.8,3.4
2021/12/01,2.1,3,3.7
